FILE att_latest_chandle.tsv
45369 18778.270000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x1d 0x0008  4 0a00ffff ....
46990 18896.199000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46994 18896.439000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47094 18896.949000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47100 18897.189000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47105 18897.459000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47206 18897.939000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47216 18898.209000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47220 18898.449000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47234 18898.959000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47240 18899.199000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47243 18899.439000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47264 18899.949000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47273 18900.189000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47279 18900.429000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47286 18900.939000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47290 18901.179000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47293 18901.449000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47296 18901.929000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47300 18902.199000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47302 18902.439000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47377 18902.949000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47383 18903.189000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47385 18903.429000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47388 18903.939000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47390 18904.179000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47394 18904.419000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47397 18904.959000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47399 18905.199000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47403 18905.469000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
47406 18905.949000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
FILE att_0952_chandle.tsv
78750 36094.504000000 70:de:f9:d6:ab:5f -> 28:4b:54:d0:4b:20 0x08   0  
