frame.number	frame.time_relative	bthci_evt.code	bthci_evt.le_meta_subevent	bthci_evt.connection_handle	bthci_evt.bd_addr	bthci_evt.status	_ws.col.info
63870	34696.018000000	0x05		0x0402		0x00	Rcvd Disconnect Complete
63891	34699.257000000	0x3e	0x0a	0x0404	da:0a:6b:15:be:a3	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
63904	34699.348000000	0x3e	0x07	0x0404			Rcvd LE Meta (LE Data Length Change)
63913	34699.797000000	0x3e	0x0c	0x0404		0x00	Rcvd LE Meta (LE PHY Update Complete)
63917	34699.889000000	0x3e	0x07	0x0404			Rcvd LE Meta (LE Data Length Change)
63931	34700.161000000	0x3e	0x04	0x0404		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
63949	34700.789000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
64037	34701.480000000	0x05		0x0404		0x00	Rcvd Disconnect Complete
64054	34706.082000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
64144	34724.665000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
65377	34745.960000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
65535	34757.457000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
66506	34769.165000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
66943	34910.126000000	0x05		0x0401		0x00	Rcvd Disconnect Complete
66962	34910.137000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
66973	34916.149000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
67005	34961.587000000	0x3e	0x0a	0x0401	0c:7e:24:31:3a:f6	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
67007	34961.587000000	0x05		0x0401		0x00	Rcvd Disconnect Complete
67031	34961.602000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
67046	34962.533000000	0x3e	0x0a	0x0401	0c:7e:24:31:3a:f6	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
67066	34963.131000000	0x3e	0x0c	0x0401		0x00	Rcvd LE Meta (LE PHY Update Complete)
67070	34963.767000000	0x05		0x0401		0x00	Rcvd Disconnect Complete
67090	34963.780000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
67096	34963.853000000	0x3e	0x0a	0x0401	0c:7e:24:31:3a:f6	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
67117	34964.421000000	0x3e	0x0c	0x0401		0x00	Rcvd LE Meta (LE PHY Update Complete)
67120	34964.513000000	0x3e	0x07	0x0401			Rcvd LE Meta (LE Data Length Change)
67132	34964.755000000	0x3e	0x04	0x0401		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
67767	34971.684000000	0x3e	0x03	0x0401		0x00	Rcvd LE Meta (LE Connection Update Complete)
67849	34981.405000000	0x3e	0x03	0x0401		0x00	Rcvd LE Meta (LE Connection Update Complete)
68550	35183.546000000	0x05		0x0401		0x00	Rcvd Disconnect Complete
